Numéro de boucle;Jour;00;01;02;03;04;05;06;07;08;09;10;11;12;13;14;15;16;17;18;19;20;21;22;23;Total;Probabilité de présence d'anomalies;Jour de la semaine;Boucle de comptage;Date formatée;Vacances
727;2025-10-31;8;0;0;1;1;7;8;34;47;18;8;11;32;16;18;15;26;43;28;26;11;9;3;1;371;;5;727 - Pont Tabarly vers Nord;2025-10-31;Vacances de la Toussaint
949;2025-10-31;3;2;2;0;2;0;4;9;25;7;7;14;22;10;15;14;18;46;24;22;9;10;7;11;283;;5;949 - avenue de la Libération vers Sud;2025-10-31;Vacances de la Toussaint
946;2025-10-31;8;0;1;0;1;1;7;30;96;81;44;33;55;38;45;37;56;89;71;54;53;30;18;21;869;;5;946 - Magellan vers Est;2025-10-31;Vacances de la Toussaint
981;2025-10-31;0;0;0;0;1;0;1;3;5;5;0;2;2;5;4;6;10;6;8;6;2;3;1;2;72;;5;981 - Pont Tabarly vers Nord;2025-10-31;Vacances de la Toussaint
669;2025-10-31;2;1;0;0;3;8;13;75;133;51;17;33;28;30;28;16;26;47;47;35;29;15;11;5;653;;5;669 - De Gaulle sortie Clémenceau vers Nord;2025-10-31;Vacances de la Toussaint
670;2025-10-31;1;3;5;1;2;3;5;8;18;10;2;13;12;17;14;19;8;29;21;23;12;5;7;3;241;;5;670 - Pont de Pirmil vers Sud;2025-10-31;Vacances de la Toussaint
666;2025-10-31;2;1;0;1;0;0;2;5;12;10;4;7;15;10;8;11;18;17;20;8;10;9;1;3;174;;5;666 - Pont Audibert vers Sud;2025-10-31;Vacances de la Toussaint
667;2025-10-31;27;6;7;6;4;6;37;108;252;191;86;77;144;113;102;132;142;223;187;139;115;69;38;49;2260;;5;667 - Entrée pont Audibert vers Nord;2025-10-31;Vacances de la Toussaint
676;2025-10-31;4;4;0;2;1;3;5;24;63;36;16;10;35;33;21;30;48;78;55;20;14;8;8;10;528;;5;676 - Pont Willy Brandt vers Beaulieu;2025-10-31;Vacances de la Toussaint
679;2025-10-31;0;0;0;0;0;0;2;1;3;6;6;2;2;9;5;8;4;11;7;3;1;4;2;0;76;;5;679 - Bd Malakoff vers Gare Sud;2025-10-31;Vacances de la Toussaint
